date,temp,rain,wind,humid,pressure
2002.12.06,6.7,,1.7,64,1014.2
2002.12.07,5.2,0,2.3,63.9,1014.5
2002.12.08,1.1,5,2.7,82.6,1014.4
2002.12.09,-5.4,,3.7,50.5,1015.9
2002.12.10,-6.4,,3,41,1017.2
2002.12.11,-5.5,,2.2,38.5,1018.4
2002.12.12,-3.8,,2.2,43.5,1021.1
2002.12.13,-3,,1.3,44.9,1024.7
2002.12.14,0,,1.8,56.3,1023
2002.12.15,4.9,0,2.2,59.9,1016.5
2002.12.16,4.8,0.5,3.5,84.8,1006
2002.12.17,2.6,,1.8,75.3,1014.5
2002.12.18,4,,1.8,70.4,1014
2002.12.19,3.1,,1.7,53.3,1017
2002.12.20,4.6,,1.5,54.3,1017.9
2002.12.21,6.5,,1.6,55.4,1015
2002.12.22,6.4,,2.6,55.5,1016.1
2002.12.23,5.8,7,2.4,71.1,1012.9
2002.12.24,2.3,1,3.1,75.5,1011.4
2002.12.25,-2.6,0.7,3.5,71.5,1013.1
2002.12.26,-6.3,,3.2,46.9,1018.3
2002.12.27,-4.5,,1.4,47.3,1018.5
2002.12.28,-0.9,0,2.7,64.8,1012
2002.12.29,-2.4,,1.9,51.4,1014.9
2002.12.30,-2,0.7,1.2,62.9,1013.3
2002.12.31,-1.4,0.1,2.2,64,1013
2003.01.01,-4.7,,2.9,46.1,1017.3
2003.01.02,-4.3,,1.8,43.4,1020.1
2003.01.03,-3.6,1.3,2.7,70.3,1009.7
2003.01.04,-10.2,0.2,4.1,60.5,1012.3
2003.01.05,-12.8,,3.8,46.5,1021.1
2003.01.06,-9.2,,1.8,47.5,1022.4
2003.01.07,-5.6,,1.3,55.4,1020.9
2003.01.08,-3.3,,1.5,65.9,1019
2003.01.09,0.5,,1.3,72.8,1013.4
2003.01.10,0.7,,1.6,75.1,1010
2003.01.11,0.6,,2,69.5,1010.5
2003.01.12,3.9,,2.7,70.5,1009.4
2003.01.13,5.5,,3,82.6,1005
2003.01.14,-2.2,,3.9,44.5,1012.9
2003.01.15,-3.9,,2.1,45,1020.3
2003.01.16,-0.1,,1.5,54.6,1015.9
2003.01.17,2.8,4.5,2,77.1,1012
2003.01.18,1.9,,2.2,76.3,1014.4
2003.01.19,0.9,,1.7,69.1,1007.8
2003.01.20,-0.7,,2.3,54.5,1006.7
2003.01.21,-2.1,,2.2,49.3,1010.2
2003.01.22,-2.1,1,1.9,74.1,1004.6
2003.01.23,-1.3,,2.6,65.6,1003
2003.01.24,-1.6,,2,50.6,1012.6
2003.01.25,0.3,,1.9,46.6,1017
2003.01.26,2.7,1.5,2.2,69.1,1010.5
2003.01.27,-1.7,5.6,4.2,81.9,1003
2003.01.28,-8.1,0,4.3,52.9,1007
2003.01.29,-11.7,,4.7,45.1,1014.2
2003.01.30,-7.2,,1.9,49.9,1018.6
2003.01.31,-2.5,0,2.1,55.9,1016.9
2003.02.01,-1.3,,1.4,52,1016.9
2003.02.02,-0.6,,1.9,57.4,1015.7
2003.02.03,-0.6,,1.9,50.5,1014.8
2003.02.04,0.6,,2.1,49.9,1012.1
2003.02.05,-0.3,,2.6,47,1014.8
2003.02.06,0.5,,2.8,57.9,1017.2
2003.02.07,4.3,,1.9,64.1,1011.5
2003.02.08,4.5,3,2.3,77.9,1006.5
2003.02.09,4.6,,1.2,79.9,1011.9
2003.02.10,5.5,0.5,1.7,71.1,1011.4
2003.02.11,-0.6,1.5,3.7,58.5,1012
2003.02.12,-4.1,0.1,3.2,45.6,1015.1
2003.02.13,1.5,0,3.4,63.1,1014.1
2003.02.14,2.7,,2,54.9,1016
2003.02.15,4,,2.1,39.9,1010.6
2003.02.16,4.3,,2.4,47.3,1008.3
2003.02.17,4.1,,2,58,1010.4
2003.02.18,4.1,0,1.6,72.8,1008.2
2003.02.19,2.2,,2.1,78,1007.1
2003.02.20,3.3,,1.7,50.9,1014
2003.02.21,3.5,13.5,2.1,63.5,1012.1
2003.02.22,3.8,19,4,86.1,1002.3
2003.02.23,2.8,1,3.1,74.8,1005.8
2003.02.24,3.7,0.5,2,77,1008.1
2003.02.25,4.3,,1.6,70.6,1012
2003.02.26,4.9,0.5,1.7,67.8,1011
2003.02.27,6.1,,2.1,54.6,1016.2
2003.02.28,6.6,,2.3,58.5,1012.2
2003.03.01,6.5,0.5,2.3,69.1,1002
2003.03.02,4.3,5,2.5,72.5,1002.2
2003.03.03,0.4,2.5,4.3,55.1,1001.1
2003.03.04,-1,,2.8,36.5,1012.9
2003.03.05,2.5,,1.9,39.6,1015.6
2003.03.06,3.4,3.5,2.5,74.4,1009.2
2003.03.07,2.8,5.2,2.2,86.5,1005.2
2003.03.08,2.6,0.5,1.7,76.5,1013
2003.03.09,3.4,0,1.3,69.8,1019.7
2003.03.10,4.6,,1.7,56.3,1022.7
2003.03.11,5.6,,2.4,46.3,1023.7
2003.03.12,6.6,,2.1,46.5,1023.4
2003.03.13,5.8,,2.2,53.9,1021.3
2003.03.14,5.8,,2.1,59.8,1015.4
2003.03.15,8.3,,1.8,53.6,1010.5
2003.03.16,6.8,6.5,2.3,79.5,1006.7
2003.03.17,6.2,1.5,2.1,68,1010.1
2003.03.18,6.7,,2.5,49.5,1012.2
2003.03.19,7.1,,2.3,41.6,1011.5
2003.03.20,7.9,,1.9,48,1011.8
2003.03.21,9.8,0.1,2.4,49.4,1013.1
2003.03.22,9.8,,2.6,50.9,1015.4
2003.03.23,9,,1.6,46.5,1013.1
2003.03.24,8.6,0,2.1,63.3,1007.5
2003.03.25,6.9,,3.4,76.5,1008.5
2003.03.26,9.9,,2.4,60.6,1006.9
2003.03.27,8.1,1.5,3.7,62,1002.4
2003.03.28,6.6,,2.6,52.1,1003.1
2003.03.29,8,,2.2,48.9,1002.5
2003.03.30,12.3,,2.4,45.1,1002.6
2003.03.31,16,,1.6,59.4,1001.1
2003.04.01,16.4,,3.3,32,1001.7
2003.04.02,14.9,,3.4,33.3,1002.8
2003.04.03,13.9,,2.9,27.6,1003.6
2003.04.04,14.2,,2.4,32.6,1002.7
2003.04.05,12,,2.7,33.9,1005.8
2003.04.06,12,,3,50.9,1006.7
2003.04.07,11,6,2.8,56.3,1002.9
2003.04.08,10.1,1.5,3.8,72.9,999.6
2003.04.09,8.2,0.1,2.4,69.3,1010.3
2003.04.10,11.3,,1.9,52.8,1013.7
2003.04.11,9.7,12,2.3,85.4,1003
2003.04.12,10.2,0,3,87,999.2
2003.04.13,11.7,,2.8,56.4,1002.7
2003.04.14,13.7,,2.1,36.1,1004.4
2003.04.15,14.4,,2.6,38.5,1008.2
2003.04.16,16.6,,2.4,37.3,1010.2
2003.04.17,19.1,,2.7,52.1,1008.2
2003.04.18,16.9,32,2.8,79,1000.1
2003.04.19,10.3,7.5,2.1,88,999.8
2003.04.20,9.5,7,2.7,91.1,1002.9
2003.04.21,13.2,,2,49.6,1012.3
2003.04.22,12.2,2.5,1.8,65,1011.5
2003.04.23,11.6,13,1.5,81.1,1004.1
2003.04.24,14.8,,1.6,68.3,1002.7
2003.04.25,12.3,19,2.3,87.1,998.1
2003.04.26,14.4,,2.2,67.4,1004
2003.04.27,15.4,,2.8,63.8,1007.6
2003.04.28,17.7,,2.1,56.1,1009.1
2003.04.29,13.2,39,2.1,87.4,999.1
2003.04.30,13.9,,2.9,51.1,1002.9
2003.05.01,15.9,,2.6,53.1,1006.4
2003.05.02,17.6,,2,39.4,1004.8
2003.05.03,18.1,,1.6,41.5,1004.4
2003.05.04,20.9,,1.5,46.1,1003.6
2003.05.05,22.4,,1.1,47,1002.1
2003.05.06,18.4,7,1.4,72,998.3
2003.05.07,14.7,89.5,2.7,90.9,991.6
2003.05.08,14.3,,2.5,47.9,1003.9
2003.05.09,14.7,,2,57,1009.1
2003.05.10,15.9,,1.8,51.9,1008.3
2003.05.11,17.2,,1.7,52,1008
2003.05.12,18.6,,1.5,49.9,1010
2003.05.13,21.2,,1.5,47.9,1006.3
2003.05.14,22.3,,1.8,48.4,1000.7
2003.05.15,21.1,,2.5,45.5,1000.5
2003.05.16,20.3,,2.2,45.3,1001.7
2003.05.17,19.6,,2.3,63.3,999.7
2003.05.18,17.7,,2.2,65.4,998.9
2003.05.19,18.4,,1.9,62.8,1000.3
2003.05.20,18.5,,1.8,62.6,1002.3
2003.05.21,19.3,,1.5,63.8,1004.4
2003.05.22,20.7,,1.4,60.4,1003.5
2003.05.23,20.9,,1.4,52.3,1004.4
2003.05.24,20.5,0.5,1.7,60.9,1003
2003.05.25,17.3,6,2.7,77.1,1001.1
2003.05.26,21.7,,2,58.5,1000.6
2003.05.27,23.9,,1.1,56.9,1001.9
2003.05.28,25.2,,1.6,46,1001.7
2003.05.29,23,0,1.5,61.8,1000.5
